"";"X";"V1"
"456";456;4
"457";457;0
"458";458;0
"459";459;0
"460";460;13
"461";461;0
"462";462;14
"463";463;14
"464";464;8
"465";465;2
"466";466;6
"467";467;0
"468";468;0
"469";469;11
"470";470;12
"471";471;9
"472";472;1
"473";473;8
"474";474;19
"475";475;7
"476";476;16
"477";477;0
"478";478;2
"479";479;0
"480";480;12
"481";481;4
"482";482;19
"483";483;16
"484";484;0
"485";485;2
"486";486;4
"487";487;0
"488";488;0
"489";489;0
"490";490;0
"491";491;19
"492";492;18
"493";493;3
"494";494;16
"495";495;13
"496";496;13
"497";497;2
"498";498;2
"499";499;3
"500";500;1
"501";501;0
"502";502;12
"503";503;7
"504";504;17
"505";505;0
"506";506;11
"507";507;8
"508";508;0
"509";509;0
"510";510;6
"511";511;9
"512";512;11
"513";513;8
"514";514;0
"515";515;0
"516";516;18
"517";517;0
"518";518;0
"519";519;0
"520";520;2
"521";521;15
"522";522;6
"523";523;0
"524";524;0
"525";525;10
"526";526;4
"527";527;8
"528";528;0
"529";529;3
"530";530;6
"531";531;14
"532";532;18
"533";533;0
"534";534;15
"535";535;15
"536";536;12
"537";537;2
"538";538;1
"539";539;5
"540";540;13
"541";541;6
"542";542;3
"543";543;10
"544";544;15
"545";545;0
"546";546;0
"547";547;15
"548";548;0
"549";549;11
"550";550;0
"551";551;13
"552";552;3
"553";553;2
"554";554;18
"555";555;0
"556";556;5
"557";557;17
"558";558;2
"559";559;7
"560";560;4
"561";561;11
"562";562;13
"563";563;16
"564";564;12
"565";565;7
"566";566;3
"567";567;2
"568";568;14
"569";569;0
"570";570;7
"571";571;1
"572";572;14
"573";573;17
"574";574;3
"575";575;1
"576";576;8
"577";577;18
"578";578;1
"579";579;1
"580";580;16
"581";581;16
"582";582;14
"583";583;0
"584";584;7
"585";585;18
"586";586;15
"587";587;4
"588";588;7
"589";589;11
"590";590;18
"591";591;0
"592";592;19
"593";593;12
"594";594;0
"595";595;0
"596";596;0
"597";597;0
"598";598;18
"599";599;6
"600";600;9
"601";601;2
"602";602;0
"603";603;14
"604";604;5
"605";605;0
"606";606;8
"607";607;14
"608";608;19
"609";609;17
"610";610;0
"611";611;0
"612";612;0
"613";613;3
"614";614;7
"615";615;16
"616";616;0
"617";617;16
"618";618;14
"619";619;0
"620";620;15
"621";621;1
"622";622;18
"623";623;17
"624";624;4
"625";625;0
"626";626;0
"627";627;7
"628";628;19
"629";629;16
"630";630;8
"631";631;14
"632";632;0
"633";633;1
"634";634;14
"635";635;18
"636";636;19
"637";637;12
"638";638;12
"639";639;19
"640";640;0
"641";641;14
"642";642;0
"643";643;0
"644";644;6
"645";645;6
"646";646;12
"647";647;16
"648";648;0
"649";649;15
"650";650;6
"651";651;8
"652";652;2
"653";653;12
"654";654;0
"655";655;0
"656";656;0
"657";657;0
"658";658;0
"659";659;14
"660";660;18
"661";661;9
"662";662;9
"663";663;0
"664";664;6
"665";665;0
"666";666;15
"667";667;12
"668";668;16
"669";669;0
"670";670;6
"671";671;0
"672";672;2
"673";673;18
"674";674;7
"675";675;1
"676";676;0
"677";677;18
"678";678;0
"679";679;16
"680";680;19
"681";681;14
"682";682;1
"683";683;15
"684";684;9
"685";685;0
"686";686;0
"687";687;8
"688";688;5
"689";689;6
"690";690;14
"691";691;0
"692";692;15
"693";693;16
"694";694;14
"695";695;14
"696";696;16
"697";697;12
"698";698;0
"699";699;0
"700";700;11
"701";701;0
"702";702;15
"703";703;0
"704";704;10
"705";705;18
"706";706;12
"707";707;18
"708";708;0
"709";709;9
"710";710;1
"711";711;0
"712";712;19
"713";713;2
"714";714;16
