several;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
its;0;0;0;1;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0
has;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;2
there;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
other;0;0;0;0;0;0;0;3;1;0;0;0;0;0;2;0;0;0;1
more;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3
j;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
along;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3
using;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
two;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
than;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3
seen;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
below;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;0
any;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3
while;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0
they;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
really;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
outside;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
looks;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0
between;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0
towards;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
th;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0
so;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0
my;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
far;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0
f;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
without;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
v;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
their;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
somewhere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
some;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
same;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
novel;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
most;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
here;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
her;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
h;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
every;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
containing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
co;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
672;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
1680;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
