"";"V1"
"639";19
"640";0
"641";14
"642";0
"643";0
"644";6
"645";6
"646";12
"647";16
"648";0
"649";15
"650";6
"651";8
"652";2
"653";12
"654";0
"655";0
"656";0
"657";0
"658";0
"659";14
"660";18
"661";9
"662";9
"663";0
"664";6
"665";0
"666";15
"667";12
"668";16
"669";0
"670";6
"671";0
"672";2
"673";18
"674";7
"675";1
"676";0
"677";18
"678";0
"679";16
"680";19
"681";14
"682";1
"683";15
"684";9
"685";0
"686";0
"687";8
"688";5
"689";6
"690";14
"691";0
"692";15
"693";16
"694";14
"695";14
"696";16
"697";12
"698";0
"699";0
"700";11
"701";0
"702";15
"703";0
"704";10
"705";18
"706";12
"707";18
"708";0
"709";9
"710";1
"711";0
"712";19
"713";2
"714";16
"715";0
"716";0
"717";15
"718";8
"719";0
"720";0
"721";7
"722";15
"723";18
"724";8
"725";2
"726";0
"727";12
"728";0
"729";9
"730";16
"731";14
"732";0
"733";14
"734";16
"735";19
"736";13
"737";19
"738";12
"739";1
"740";0
"741";5
"742";6
"743";14
"744";12
"745";16
"746";12
"747";18
"748";0
"749";19
"750";14
"751";7
"752";0
"753";2
"754";11
"755";7
"756";0
"757";0
"758";6
"759";0
"760";11
"761";1
"762";8
"763";12
"764";0
"765";15
"766";2
"767";16
"768";0
"769";16
"770";17
"771";0
"772";7
"773";0
"774";18
"775";16
"776";12
"777";0
"778";18
"779";14
"780";16
"781";7
"782";16
"783";16
"784";0
"785";15
"786";8
"787";19
"788";16
"789";3
"790";2
"791";0
"792";0
"793";0
"794";0
"795";14
"796";19
"797";16
"798";15
"799";19
"800";16
"801";12
"802";12
"803";12
"804";18
"805";7
"806";0
"807";11
"808";0
"809";0
"810";13
"811";3
"812";9
"813";5
"814";0
"815";0
"816";6
"817";16
"818";12
"819";18
"820";15
"821";6
"822";8
"823";6
"824";0
"825";14
"826";0
"827";0
"828";18
"829";0
"830";1
"831";0
"832";19
"833";0
"834";2
"835";16
"836";9
"837";0
"838";0
"839";0
"840";18
"841";12
"842";18
"843";12
"844";1
"845";4
"846";0
"847";19
"848";19
"849";3
"850";3
"851";5
"852";16
"853";4
"854";7
"855";1
"856";0
"857";0
"858";18
"859";8
"860";3
"861";0
"862";8
"863";15
"864";9
"865";8
"866";0
"867";12
"868";18
"869";9
"870";4
"871";0
"872";10
"873";0
"874";0
"875";0
"876";7
"877";0
"878";12
"879";19
"880";12
"881";1
"882";17
"883";18
"884";19
"885";1
"886";0
"887";7
"888";18
"889";18
"890";8
"891";1
"892";12
"893";3
"894";17
"895";0
"896";15
"897";9
"898";0
"899";0
"900";16
"901";0
"902";19
"903";16
"904";12
"905";0
"906";7
"907";17
"908";16
"909";7
"910";14
"911";2
"912";11
"913";5
"914";0
"915";0
"916";14
"917";8
"918";9
"919";6
"920";6
"921";16
"922";2
"923";8
"924";0
"925";19
"926";18
"927";3
"928";14
"929";19
"930";16
"931";0
"932";0
"933";8
"934";2
"935";0
"936";3
"937";10
"938";14
"939";18
"940";18
"941";15
"942";15
"943";0
"944";14
"945";0
"946";3
"947";18
"948";8
"949";11
"950";14
"951";18
"952";2
"953";2
"954";0
"955";0
"956";8
"957";2
"958";11
"959";16
"960";5
"961";0
"962";0
"963";0
"964";11
"965";8
"966";4
"967";12
"968";3
"969";14
"970";0
"971";16
"972";0
"973";3
"974";15
"975";7
"976";10
"977";0
"978";0
"979";0
"980";7
"981";7
"982";14
"983";0
"984";17
"985";1
"986";6
"987";3
"988";19
"989";0
"990";0
"991";0
"992";0
"993";2
"994";15
"995";8
"996";1
"997";15
"998";4
"999";1
"1000";10
"1001";19
"1002";18
"1003";18
"1004";14
"1005";0
"1006";19
"1007";14
"1008";0
"1009";0
"1010";5
"1011";16
"1012";1
"1013";5
"1014";7
"1015";0
"1016";8
"1017";17
"1018";8
"1019";0
"1020";19
"1021";3
"1022";3
"1023";16
