"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"19";"***";"";""
"**";"classe";"1";"**";"";""
"****";"84";"1448";"5.8";"****";""
"58";" 65";" 89.23";"866.850";"flower";"1.578617e-190"
"51";" 55";" 92.73";"790.541";"vibe";"6.145059e-174"
"51";" 58";" 87.93";"745.810";"ornate";"3.269576e-164"
"42";" 42";"100.00";"702.373";"melt";"9.114832e-155"
"42";" 42";"100.00";"702.373";"drip";"9.114832e-155"
"42";" 42";"100.00";"702.373";"creek";"9.114832e-155"
"43";" 44";" 97.73";"701.739";"puddle";"1.251538e-154"
"43";" 45";" 95.56";"684.666";"snow";"6.459560e-151"
"43";" 46";" 93.48";"668.336";"pristine";"2.298849e-147"
"42";" 45";" 93.33";"651.183";"lush";"1.235668e-143"
"38";" 38";"100.00";"633.677";"page";"7.925966e-140"
"43";" 49";" 87.76";"623.348";"chimney";"1.398138e-137"
"42";" 47";" 89.36";"620.690";"ice";"5.292514e-137"
"42";" 47";" 89.36";"620.690";"wet";"5.292514e-137"
"43";" 51";" 84.31";"596.300";"mist";"1.068075e-131"
"43";" 52";" 82.69";"583.557";"smoke";"6.314962e-129"
"36";" 38";" 94.74";"564.845";"stain";"7.425423e-125"
"33";" 33";"100.00";"548.354";"cart";"2.870960e-121"
"35";" 38";" 92.11";"531.912";"riabovitchev";"1.083777e-117"
"35";" 38";" 92.11";"531.912";"andrei";"1.083777e-117"
"43";" 57";" 75.44";"526.558";"forest";"1.584302e-116"
"37";" 45";" 82.22";"496.356";"waterfall";"5.898575e-110"
"51";" 91";" 56.04";"448.562";"atmosphere";" 1.483013e-99"
"27";" 27";"100.00";"446.759";"orange";" 3.659717e-99"
"43";" 68";" 63.24";"430.708";"bridge";" 1.139758e-95"
"28";" 30";" 93.33";"429.530";"stanley";" 2.057249e-95"
"28";" 30";" 93.33";"429.530";"lau";" 2.057249e-95"
"36";" 49";" 73.47";"424.972";"green";" 2.019128e-94"
"36";" 53";" 67.92";"388.530";"glass";" 1.729500e-86"
"23";" 23";"100.00";"379.504";"tranding";" 1.595508e-84"
"22";" 22";"100.00";"362.749";"particle";" 7.094116e-81"
"23";" 24";" 95.83";"362.001";"frazetta";" 1.032676e-80"
"22";" 23";" 95.65";"345.280";"sunbeam";" 4.518490e-77"
"21";" 22";" 95.45";"328.586";"carcassonne";" 1.953225e-73"
"20";" 21";" 95.24";"311.919";"rutowski";" 8.340795e-70"
"23";" 28";" 82.14";"304.513";"rossdraws";" 3.424093e-68"
"23";" 28";" 82.14";"304.513";"frank";" 3.424093e-68"
"43";" 92";" 46.74";"301.296";"rain";" 1.719215e-67"
"33";" 57";" 57.89";"294.665";"simonetti";" 4.786878e-66"
"33";" 57";" 57.89";"294.665";"marc";" 4.786878e-66"
"28";" 42";" 66.67";"293.237";"red";" 9.799029e-66"
"17";" 18";" 94.44";"262.084";"windmill";" 6.028838e-59"
"64";"235";" 27.23";"235.821";"medieval";" 3.205866e-53"
"17";" 20";" 85.00";"232.783";"tone";" 1.473461e-52"
"61";"266";" 22.93";"175.006";"beautiful";" 5.968769e-40"
"37";"109";" 33.94";"170.854";"village";" 4.815765e-39"
"13";" 16";" 81.25";"168.537";"switzerland";" 1.544366e-38"
"16";" 24";" 66.67";"165.446";"long";" 7.309032e-38"
"10";" 10";"100.00";"163.510";"dutch";" 1.935395e-37"
"10";" 10";"100.00";"163.510";"speckle";" 1.935395e-37"
"13";" 17";" 76.47";"157.212";"akihiko";" 4.601171e-36"
"12";" 16";" 75.00";"141.771";"yoshitaka";" 1.091340e-32"
"12";" 16";" 75.00";"141.771";"amano";" 1.091340e-32"
"10";" 12";" 83.33";"133.108";"mushroom";" 8.563522e-31"
"22";" 52";" 42.31";"131.544";"wlop";" 1.882154e-30"
"13";" 20";" 65.00";"130.059";"yoshida";" 3.977404e-30"
"18";" 38";" 47.37";"123.390";"yellow";" 1.145563e-28"
" 8";"  9";" 88.89";"114.411";"spot";" 1.059104e-26"
" 8";"  9";" 88.89";"114.411";"duck";" 1.059104e-26"
" 8";"  9";" 88.89";"114.411";"rose";" 1.059104e-26"
" 7";"  7";"100.00";"114.219";"nearby";" 1.166931e-26"
"17";" 38";" 44.74";"108.261";"french";" 2.355775e-25"
" 6";"  6";"100.00";" 97.834";"doll";" 4.549772e-23"
"38";"172";" 22.09";" 94.806";"color";" 2.100247e-22"
"43";"215";" 20.00";" 93.153";"illustration";" 4.840579e-22"
"13";" 27";" 48.15";" 90.288";"jean";" 2.059438e-21"
" 5";"  5";"100.00";" 81.472";"kindkade";" 1.777802e-19"
" 5";"  5";"100.00";" 81.472";"landscale";" 1.777802e-19"
" 5";"  5";"100.00";" 81.472";"donkey";" 1.777802e-19"
"28";"113";" 24.78";" 80.778";"artgerm";" 2.525242e-19"
" 4";"  4";"100.00";" 65.132";"horse";" 7.003452e-16"
" 4";"  4";"100.00";" 65.132";"tulip";" 7.003452e-16"
" 4";"  4";"100.00";" 65.132";"hobbit";" 7.003452e-16"
" 4";"  4";"100.00";" 65.132";"botanical";" 7.003452e-16"
" 8";" 15";" 53.33";" 62.666";"fire";" 2.448808e-15"
" 3";"  3";"100.00";" 48.815";"stew";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"precious";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"loaf";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"leg";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"head";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"dieces";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"dice";" 2.812197e-12"
"17";" 77";" 22.08";" 39.428";"background";" 3.403887e-10"
"15";" 63";" 23.81";" 39.089";"shoot";" 4.049300e-10"
"43";"341";" 12.61";" 37.841";"concept";" 7.673205e-10"
"59";"565";" 10.44";" 36.525";"artstation";" 1.507046e-09"
" 3";"  4";" 75.00";" 35.148";"shield";" 3.055430e-09"
" 3";"  4";" 75.00";" 35.148";"astronaut";" 3.055430e-09"
" 5";" 12";" 41.67";" 28.484";"autumn";" 9.449799e-08"
" 3";"  5";" 60.00";" 26.971";"play";" 2.065342e-07"
"16";" 87";" 18.39";" 26.848";"landscape";" 2.201587e-07"
"36";"299";" 12.04";" 26.841";"trend";" 2.209114e-07"
"22";"152";" 14.47";" 23.375";"volumetric";" 1.333163e-06"
" 3";"  6";" 50.00";" 21.539";"plain";" 3.467477e-06"
" 2";"  3";" 66.67";" 20.380";"wild";" 6.348284e-06"
" 3";"  8";" 37.50";" 14.792";"swiss";" 1.200418e-04"
" 3";"  8";" 37.50";" 14.792";"tolkien";" 1.200418e-04"
" 2";"  4";" 50.00";" 14.339";"rembrandt";" 1.526456e-04"
" 3";"  9";" 33.33";" 12.563";"table";" 3.935625e-04"
"17";"143";" 11.89";" 10.758";"map";" 1.038106e-03"
"43";"504";"  8.53";" 10.549";"art";" 1.162685e-03"
" 4";" 17";" 23.53";"  9.894";"garden";" 1.658515e-03"
"13";"104";" 12.50";"  9.201";"james";" 2.418342e-03"
" 7";" 58";" 12.07";"  4.344";"blue";" 3.714523e-02"
" 1";"  3";" 33.33";"  4.170";"reflection";" 4.114298e-02"
" 1";"  3";" 33.33";"  4.170";"girl";" 4.114298e-02"
" 1";"  3";" 33.33";"  4.170";"beer";" 4.114298e-02"
" 2";" 10";" 20.00";"  3.715";"spring";" 5.392468e-02"
"25";"315";"  7.94";"  3.359";"greg";" 6.682535e-02"
" 5";" 41";" 12.20";"  3.157";"thomas";" 7.561049e-02"
" 6";" 53";" 11.32";"  3.067";"oil";" 7.988882e-02"
" 4";" 31";" 12.90";"  2.924";"white";" 8.727033e-02"
" 3";" 21";" 14.29";"  2.807";"field";" 9.384291e-02"
" 1";"  4";" 25.00";"  2.706";"group";" 9.999891e-02"
" 1";"  4";" 25.00";"  2.706";"base";" 9.999891e-02"
" 2";" 12";" 16.67";"  2.614";"loish";" 1.059092e-01"
" 2";" 12";" 16.67";"  2.614";"roof";" 1.059092e-01"
"25";"331";"  7.55";"  2.410";"city";" 1.205959e-01"
"*****";"*";"*";"*";"*";"*"
"35";" 35";"100.00";"582.411";"well";"1.121122e-128"
"62";"458";" 13.54";" 73.363";"on";" 1.078730e-17"
" 5";"  7";" 71.43";" 55.439";"there";" 9.639229e-14"
" 3";"  3";"100.00";" 48.815";"using";" 2.812197e-12"
" 3";"  3";"100.00";" 48.815";"same";" 2.812197e-12"
