"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"76";2;5;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
"77";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"78";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"79";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"80";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"81";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"82";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"83";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"84";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"85";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"86";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"87";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"88";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"89";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"90";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"91";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"92";2;5;6;8;10;13;14;17;18;20;22;24;26;26;26;26;26;26;26
"93";2;5;6;8;10;13;14;17;18;20;22;24;26;26;26;26;26;26;26
"94";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"95";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"96";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"97";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"98";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"99";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"100";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"101";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"102";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"103";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"104";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"105";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"106";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"107";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"108";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"109";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"110";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"111";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"112";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"113";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"114";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"115";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
