"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"38";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"39";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;73;73;73;73
"40";2;5;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"41";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"42";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
"43";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"44";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"45";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"46";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"47";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"48";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;76;76
"49";2;5;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"50";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
