"";"";"";"";"towards";""
"1";"towards";"-0.271705772709204";"0.147690246733279";"0.818649233425315";"92"
"2";"about";"-0.271705772709204";"0.147690246733279";"0.813128101972931";"102"
"3";"672";"-0.271705772709204";"0.147690246733279";"0.813128101972931";"103"
