"";"classe 1";"classe 2"
"exquisite";-1,848;1,848
"dusk";-1,848;1,848
"dragon";-0,026;0,026
"animation";-0,865;0,865
"amaze";-1,738;1,738
"akihiko";-0,431;0,431
"yoshitaka";-0,431;0,431
"video";-0,005;0,005
"ultradetailed";-0,973;0,973
"top";-1,738;1,738
"time";0,144;-0,144
"sunlight";-1,738;1,738
"simple";2,146;-2,146
"russian";-0,539;0,539
"renowned";150,4;-150,4
"post";-1,191;1,191
"planet";25,415;-25,415
"moody";-1,082;1,082
"lense";-1,738;1,738
"julius";150,4;-150,4
"illumination";-0,539;0,539
"glow";-1,738;1,738
"global";0,606;-0,606
"fish";-1,082;1,082
"fight";-1,738;1,738
"empire";21,713;-21,713
"disney";21,38;-21,38
"cliff";-1,738;1,738
"caesar";150,4;-150,4
"antique";140,907;-140,907
"amano";-0,431;0,431
"winter";-1,628;1,628
"wes";-1,628;1,628
"third";23,609;-23,609
"symmetrical";-1,628;1,628
"strong";-1,519;1,519
"stiavnica";-1,628;1,628
"spain";22,298;-22,298
"shape";1,831;-1,831
"rhads";-0,756;0,756
"renewel";140,907;-140,907
"pixar";-1,3;1,3
"neon";-1,082;1,082
"neoclassical";-0,431;0,431
"mohrbacher";-1,628;1,628
"market";-1,519;1,519
"londo";-1,628;1,628
"loish";-1,409;1,409
"line";-1,628;1,628
"flow";-1,628;1,628
"figure";-1,519;1,519
"dore";85,398;-85,398
"depth";-1,628;1,628
"breathtaking";-1,628;1,628
"behance";2,855;-2,855
"banska";-1,628;1,628
"anor";-1,628;1,628
"anderson";-1,628;1,628
"winner";0,338;-0,338
"tiny";-0,648;0,648
"sprawl";-1,519;1,519
"show";33,512;-33,512
"sea";0,482;-0,482
"scale";-1,519;1,519
"rule";36,274;-36,274
"pile";-1,519;1,519
"mm";2,215;-2,215
"lacoste";-1,082;1,082
"king";0,338;-0,338
"jim";65,412;-65,412
"insanely";-1,519;1,519
"ink";17,715;-17,715
"good";121,959;-121,959
"gaston";-1,519;1,519
"desert";2,146;-2,146
"cross";-0,106;0,106
"century";-0,106;0,106
"busy";-1,082;1,082
"bussiere";-1,519;1,519
"zombie";-1,409;1,409
"window";-1,409;1,409
"uhd";-1,409;1,409
"sun";-1,3;1,3
"screenshot";-0,756;0,756
"ross";-0,648;0,648
"print";-0,539;0,539
"pixel";-1,3;1,3
"ominous";-0,756;0,756
"natural";-1,409;1,409
"mumford";-1,409;1,409
"moscow";-1,3;1,3
"marketplace";-1,409;1,409
"majestic";-1,409;1,409
"lively";-1,409;1,409
"level";-1,409;1,409
"key";-1,082;1,082
"ivan";-1,409;1,409
"gorgeous";-1,409;1,409
"friedrich";-0,026;0,026
"festival";-1,3;1,3
"dan";-1,409;1,409
"cole";-1,3;1,3
"big";-1,082;1,082
"villeneuve";-1,3;1,3
"urban";-1,191;1,191
"ufo";3,227;-3,227
"tran";-0,539;0,539
"sword";-1,3;1,3
"seaside";-1,3;1,3
"roof";-1,082;1,082
"rob";44,771;-44,771
"plant";-0,648;0,648
"open";0,908;-0,908
"moebius";-1,191;1,191
"modern";14,095;-14,095
"maya";-0,973;0,973
"massive";-1,191;1,191
"magic";-0,026;0,026
"magali";-1,3;1,3
"jesper";-0,323;0,323
"jan";-0,756;0,756
"italian";-1,3;1,3
"illustrate";-1,3;1,3
"gold";3,901;-3,901
"germany";-1,3;1,3
"entrance";-0,648;0,648
"ejsing";-0,323;0,323
"dust";-1,191;1,191
"david";-0,005;0,005
"colonial";-1,3;1,3
"cinema";-1,3;1,3
"body";16,154;-16,154
"blur";-1,3;1,3
"bierstadt";-1,191;1,191
"beeple";-1,3;1,3
"bavarian";-1,3;1,3
"autumn";-0,756;0,756
"wind";-1,191;1,191
"waterway";-0,973;0,973
"social";-1,191;1,191
"slow";-1,191;1,191
"sing";-0,005;0,005
"ruan";-1,191;1,191
"ride";-1,082;1,082
"region";83,353;-83,353
"quaint";-1,191;1,191
"pixiv";-1,191;1,191
"paper";14,897;-14,897
"otherworldly";-0,539;0,539
"masculine";-1,191;1,191
"magnificent";-1,191;1,191
"jia";-1,191;1,191
"gloomy";-1,191;1,191
"galata";-1,191;1,191
"flat";-0,323;0,323
"fallout";-1,191;1,191
"earth";25,415;-25,415
"dof";-1,191;1,191
"cottage";-1,191;1,191
"cosmic";-0,648;0,648
