"";"classe 1";"classe 2"
"monastery";-0,323;0,323
"mohrhauser";-0,323;0,323
"mitchell";-0,323;0,323
"miss";27,961;-27,961
"miniature";-0,323;0,323
"metal";-0,323;0,323
"mercantile";27,961;-27,961
"meier";27,961;-27,961
"mech";-0,323;0,323
"mattias";1,914;-1,914
"marcin";-0,323;0,323
"malevolent";-0,323;0,323
"mainz";-0,323;0,323
"madgwick";-0,323;0,323
"macmanus";-0,323;0,323
"maciej";-0,323;0,323
"machine";-0,323;0,323
"lyria";-0,323;0,323
"luxury";-0,323;0,323
"lumen";-0,323;0,323
"lisa";-0,323;0,323
"lifelike";-0,323;0,323
"liberty";-0,323;0,323
"kuciara";-0,323;0,323
"kazuo";-0,323;0,323
"jurgens";-0,323;0,323
"jurabaev";-0,323;0,323
"jungle";-0,323;0,323
"joy";-0,323;0,323
"jewel";-0,323;0,323
"jessica";-0,323;0,323
"jeremy";-0,323;0,323
"jama";-0,323;0,323
"jag";27,961;-27,961
"jacob";-0,323;0,323
"international";-0,323;0,323
"interest";-0,323;0,323
"incredibly";27,961;-27,961
"imperious";-0,323;0,323
