"";"";"";"";"puddle";""
"1";"puddle";"3.65545712709542";"-0.286649004305578";"2.33813434583347";"17"
"2";"aerial";"-0.320711499735023";"0.309293499084749";"2.32453547281601";"20"
"3";"inspire";"-0.369465025210336";"0.453267312627548";"2.27371346692091";"22"
"4";"victorian";"-0.357871733600076";"0.415229147771332";"2.19503748555031";"24"
"5";"great";"-1.49333401331831";"1.34484509866386";"2.17755029977289";"25"
"6";"lush";"3.32844696219668";"-0.232359310406075";"2.16120384928467";"27"
"7";"wet";"3.31928731924476";"-0.249469048625359";"2.16120384928467";"28"
"8";"page";"3.55574560805741";"-0.258454784254085";"2.1131396425027";"30"
"9";"mist";"3.11643476829871";"-0.227033812986519";"2.10815761400848";"31"
"10";"length";"-1.77743360415764";"1.62325320376399";"2.03601735077331";"33"
"11";"stalenhag";"-1.62141363759024";"1.47314908034394";"2.00356568055695";"35"
"12";"stain";"3.44274028364927";"-0.254319584170834";"2.00355750324305";"36"
"13";"riabovitchev";"3.42953710715562";"-0.261662535763563";"1.966410010519";"39"
"14";"andrei";"3.42953710715562";"-0.261662535763563";"1.966410010519";"40"
"15";"sharp";"-0.144154063262557";"0.369202669649237";"1.90226716027907";"42"
"16";"symmetry";"-1.72551195479735";"1.57237172248707";"1.87222779766352";"45"
"17";"elegant";"-0.10598495482716";"0.418509798946747";"1.76493326196768";"50"
"18";"lau";"3.48547616200547";"-0.256405156414411";"1.7417812419853";"53"
"19";"green";"2.67636001991039";"-0.173639463840094";"1.73331158911228";"55"
"20";"photography";"-0.319377379123152";"0.264661350249797";"1.71685270055792";"56"
"21";"stanley";"3.37065334132271";"-0.233000062975025";"1.70819088080822";"57"
"22";"coherent";"-1.71469494451396";"1.56177141388771";"1.67028085356289";"58"
"23";"tranding";"3.74678649685832";"-0.296749917120435";"1.63163691239495";"61"
"24";"watercolor";"-0.358852796382124";"0.479660735236728";"1.63093775205641";"62"
"25";"particle";"3.74678649685832";"-0.296749917120435";"1.59487579775273";"63"
"26";"frazetta";"3.57934931895967";"-0.278231576959863";"1.59345498946242";"64"
"27";"sunbeam";"3.57206944165973";"-0.277426431735491";"1.5567674706453";"67"
"28";"carcassonne";"3.57311296158477";"-0.261936159969207";"1.52013514869702";"69"
"29";"lense";"-0.336950627575724";"0.305735211189391";"1.51608942264447";"70"
"30";"masterpiece";"-0.898184299658316";"0.750185445176344";"1.49194181469463";"75"
"31";"rutowski";"3.55542972211701";"-0.275586099794067";"1.48355802361757";"76"
"32";"lively";"-0.398060252220642";"0.544987270150259";"1.47985778907734";"77"
"33";"edward";"-1.5810343217948";"1.43078847023825";"1.47816917375677";"78"
