"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"rutkowski";-0,201076155883314;-0,0107710329571267;-0,531196025705077;-0,288343045186158;0,0763863170242147;-0,472976875946495;0,198916856403108;0,520744950036626;0,533172385562628;-0,181273570135989;-0,00971026917445049;-0,478882240405901;-0,259946153213261;0,0688635623437831;-0,426396687951117;0,179326924975351;0,469460418162189;0,480663962389186;0,0561674246326271;0,000141929914036985;0,332656938223585;0,0805148718570705;0,00489298096707258;0,169072532823124;0,027488209572093;0,176061714711206;0,153003397299186;0,000455922423728717;1,30823123605871e-06;0,00318184807256798;0,000937537755814269;6,57962204188302e-05;0,00252260714621285;0,000446182958990821;0,00305787648312433;0,00320556878923066;0,011276382655143;0,659072368749135;0,00489819435897374
"trend";0,040682279015959;-0,13793636821946;-0,0202210445047749;-0,0856994551208154;0,79872621454169;0,695314439803476;0,0179180837181739;-0,58559771476198;0,00966307643650043;0,0332924945536118;-0,112880740675563;-0,0165479670836403;-0,0701324682852208;0,65364057252114;0,569013161507593;0,0146633305465619;-0,479226070930608;0,00790781459187979;0,00198812535329438;0,0201273526802084;0,000416834804363909;0,00615011332129055;0,462602646948775;0,315955261020891;0,000192866257736543;0,19252334194123;4,34576722140226e-05;2,00749523008967e-05;0,00023078179563659;4,95965130615218e-06;8,90840791875634e-05;0,00773819822750562;0,00586416891038782;3,89427930527828e-06;0,00415951524595742;1,1325954268768e-06;0,0121295300270782;0,70875833363241;0,00609312840930074
"beautiful";0,605835624733901;0,116109284246487;-0,10869612555767;0,455164188133401;0,304618330751855;0,0443667763056906;0,422600744525611;-0,231768725377548;-0,0554819046552763;0,628338981551599;0,120422085518935;-0,112733570036443;0,472070955774711;0,315933173772404;0,0460147503720828;0,438297964955099;-0,240377618802468;-0,0575427426885821;0,51984658041765;0,0168149406693073;0,0142009465630577;0,204548136675487;0,0793335093072366;0,00151674021968725;0,126492858759771;0,035557127675586;0,00168915971221452;0,00388016948685278;0,000142519725440336;0,000124901947316515;0,00219016710098128;0,000980964179589869;2,08092692359275e-05;0,00188799829159005;0,000567872379835787;3,25419673241031e-05;0,0105716087391966;0,652727631533165;0,00450406943416169
"cinematic";-0,486877675133816;0,405026168083519;0,288494234248282;-0,122419809567123;0,581250612931242;-0,587194033121606;-0,376442051029105;0,119055268096175;-0,423518436101505;-0,395272699757393;0,328821375691055;0,234214671692265;-0,0993867887207665;0,471889574616098;-0,476714753227526;-0,305615298075822;0,0966552784080339;-0,343834363711296;0,236788977266334;0,144305801885585;0,0705536722830762;0,0104356364173656;0,203717167027698;0,187376406294445;0,0707877220044618;0,00661714153154514;0,0694174752894871;0,00174980244957893;0,00121092003300016;0,000614360907886271;0,000110624850518034;0,00249388340559946;0,00254514520843466;0,00104603341885147;0,000104627664803182;0,00132401814896158;0,007381579435439;0,777237786961808;0,00445920163651384
"medieval";0,870742969818111;-0,000734368391705545;0,0216825415445126;0,0690021159905805;0,276239762110641;-0,0686517319950229;0,768268716892338;0,124187827264288;-0,0123253157893454;0,723048328869571;-0,000609805484284582;0,0180047683103083;0,0572980390135971;0,229384221618406;-0,0570070868368561;0,637955666742634;0,103123199476584;-0,0102347067885457;0,681233335959795;4,26716815280269e-07;0,000358475848331422;0,00298218469694291;0,0413873235464455;0,00230382142997116;0,265205271848144;0,00647627715091762;5,2882802633409e-05;0,00641225849783699;4,56098895062321e-09;3,9760463884094e-06;4,02676129881849e-05;0,000645362090840726;3,98597036147095e-05;0,00499180219106907;0,000130433493395988;1,28477530034555e-06;0,00845728699135725;0,819514829926751;0,0056799524787689
"render";-0,338379670584803;0,284069114049348;-0,390303896942128;-0,113715931384311;0,720236321415409;0,996609888850691;-0,366298138945588;0,0442740374138497;-0,476932891733305;-0,22628976051318;0,189969839725664;-0,261013834589274;-0,0760469765663413;0,481654540310632;0,666478020630882;-0,244960100573321;0,0296080473924947;-0,31894655392467;0,0858655201112961;0,0532910379114381;0,0969481757890294;0,00675999983122272;0,234822299948397;0,405219691079537;0,0503175652039988;0,000687005103935523;0,0660887050211454;0,000828207881809066;0,000583685448405816;0,00110188585384477;9,35348508797522e-05;0,00375215586422976;0,00718424636515533;0,000970510541415677;1,41784608420185e-05;0,00164530107672143;0,00723320597945028;0,897035534081413;0,00582036374249496
"illustration";0,537450368626539;0,150848662814213;-0,440599784099539;-0,588041825237071;-1,32420165064706;-0,302963223990265;0,112080602749651;-0,100211938515353;0,0485645077085674;0,325770019049879;0,0914353671097437;-0,267065032304811;-0,356435510685677;-0,802651225376554;-0,183638045505376;0,0679365058138928;-0,0607424369297562;0,0294368773842287;0,15741261808244;0,0109204769954231;0,0897790406546727;0,131362990616946;0,576832979963605;0,0272127553892916;0,0034234472707862;0,00255772099439228;0,000497970032440654;0,0025822006971909;0,000203421191311008;0,00173540891388416;0,00309121845628485;0,0156755040168371;0,000820527405943424;0,000112298557979404;8,97743336793715e-05;2,10839144464963e-05;0,0089395007233206;1,0522850011391;0,00989874243825724
"high";-0,648128909486391;0,371940230984449;0,833576490655358;-0,0852696856691394;0,525929172413233;-0,365246043029278;0,0411035604857865;-0,143159410248492;-0,647996165142381;-0,445913515877877;0,255895353018793;0,573501688106813;-0,0586656524311785;0,361839941007062;-0,251289743172747;0,0282793020077449;-0,0984938567321365;-0,445822187599993;0,271136528958871;0,0786334670978396;0,38060960956859;0,0032715107411607;0,107770224723303;0,0468453149321396;0,000545335847512063;0,00618239111494304;0,10500561701564;0,00310078806999858;0,00102116426979963;0,00512908874175181;5,36708683381674e-05;0,00204175590283981;0,00098473718304687;1,24711982728266e-05;0,000151282641485089;0,00309951804509838;0,007381579435439;0,966901343209956;0,00690102538271977
"intricate";-0,236356777723927;0,149590513381005;-0,732601833542065;-0,555134568519608;-0,650369796430927;0,655981594874171;-0,047577358192701;-0,340600245208116;0,0700423018975341;-0,17148962137285;0,10853600538861;-0,531542239918031;-0,402780143997414;-0,471878450943134;0,47595011412758;-0,0345199457403197;-0,247123893178405;0,0508194770133517;0,0432202691157521;0,0152459790175565;0,352379744688307;0,166204076163801;0,197538201326543;0,181119217374598;0,000875773718336841;0,0419462062512635;0,00147053234383658;0,000466245722564209;0,000186761281244049;0,00447934735949289;0,00257202557818266;0,00353020127692649;0,00359138569246166;1,88920630525698e-05;0,000968207967026281;4,09448760116731e-05;0,0083460068993657;0,883159435792868;0,00650963991734652
"fantasy";-0,339415275148234;-0,397638360672905;-0,335233112091488;-0,110636244657783;0,157332325881659;-0,201427919270443;0,133398016345026;0,484977413066964;-1,20556235814977;-0,230428898256646;-0,26995652836903;-0,227589629384393;-0,0751109034577527;0,106812854834635;-0,136749336031933;0,0905638614012927;0,329250977062162;-0,818455815952336;0,106938164608316;0,12925351878282;0,0885293682109035;0,00792060931503968;0,0138702697061229;0,0204898684680445;0,00826054340435923;0,102038581805611;0,522699075698785;0,000811918784478311;0,00111436219878114;0,000792033662008361;8,62669958112537e-05;0,000174455934782194;0,000285949377414141;0,000125414735164868;0,00165765003617247;0,01024304736391;0,00704773915946437;0,806268711591384;0,00458151840592507
