"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"steam";-0,172;-0,319;-0,157;-0,117;17,623;-0,1;-0,146;-0,368;-0,121;-1,928
"starry";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;10,494;-0,364;1,033
"sheild";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"sargent";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;2,673;-0,613;-0,202;0,002
"rural";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;46,018;0,403
"rose";123,134;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;0;-0,364;-5,805
"robert";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;4,815;2,175
"pipe";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"peak";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;185,954;-1,107;-0,364;-5,805
"pastel";-0,518;-0,962;-0,473;8,591;-1,544;-0,302;-0,441;-1,107;-0,364;5,697
"mediterranean";-0,518;-0,962;-0,473;-0,352;19,736;-0,302;-0,441;-1,107;-0,364;-0,125
"mark";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"lithuania";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;74,694;-1,928
"lit";-0,518;-0,962;-0,473;-0,352;-0,087;-0,302;-0,441;-1,107;-0,364;9,437
"lamp";-0,518;-0,962;-0,473;-0,352;-0,087;-0,302;-0,441;-1,107;-0,364;9,437
"instrument";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"human";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"grid";-0,518;-0,962;-0,473;-0,352;-0,087;-0,302;-0,441;-1,107;175,959;-5,805
"gouache";-0,518;-0,962;5,714;67,52;-1,544;-0,302;-0,441;-1,107;-0,364;-1,08
"front";0,573;-0,962;-0,473;-0,352;6,49;-0,302;6,32;-1,107;-0,364;-1,08
"fog";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;0;-0,364;9,437
"farm";0,573;-0,962;-0,473;67,52;-1,544;-0,302;-0,441;-1,107;-0,364;-0,125
"entertwined";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"drone";-0,518;-0,962;15,441;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;2,896
"dieselpunk";-0,345;-0,64;-0,315;-0,234;35,314;-0,201;-0,293;-0,737;-0,242;-3,863
"curve";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"communist";-0,172;-0,319;-0,157;77,374;-0,513;-0,1;-0,146;-0,368;-0,121;-1,928
"choi";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;22,056;-0,324;-0,008
"bell";-0,518;-0,962;-0,473;-0,352;6,49;-0,302;-0,441;-1,107;1,277;0,11
"back";-0,518;-0,962;0,725;-0,352;-1,544;-0,302;-0,441;0;-0,364;5,697
"aw";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;14,117
"artistic";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;10,494;-0,364;1,033
"army";-0,46;0,078;-0,42;1,714;-1,372;-0,268;-0,391;0,021;-0,324;1,854
"architectural";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;44,847;-0,49;-0,161;-0,334
"archdaily";-0,518;-0,962;-0,473;-0,352;-1,544;271,757;-0,441;-1,107;-0,364;-5,805
"accurate";-0,518;65,526;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;-2,973
"wu";-0,46;-0,855;56,421;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-0,008
"wood";-0,23;-0,426;-0,209;-0,156;11,764;-0,134;-0,195;-0,49;-0,161;-0,334
"woman";-0,46;25,908;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-0,008
"vladimir";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"vector";-0,345;-0,64;-0,315;66,259;-1,027;-0,201;11,201;-0,737;-0,242;-3,863
"tudor";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;165,185;-0,983;-0,324;-5,157
"trident";-0,46;-0,855;-0,42;-0,312;47,146;-0,268;-0,391;-0,983;-0,324;-5,157
"tolkien";16,16;25,908;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-5,157
"tile";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;11,539;3,093
"stålenhag";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;34,036;-0,324;-0,669
"stockholm";-0,46;-0,855;-0,42;-0,312;-0,028;-0,268;-0,391;-0,983;-0,324;7,922
"snowfall";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;199,831;-5,157
"scheme";-0,46;-0,855;0,968;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;7,922
"rust";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"renaissance";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;3,123;2,653;0,302
"reflection";4,573;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;0,961
"point";-0,46;7,205;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;1,854
"play";29,176;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;0,002
"panoramic";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;4,376;17,609;-0,766
"moon";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"mccurry";-0,46;-0,855;-0,42;-0,312;47,146;-0,268;-0,391;-0,983;-0,324;-5,157
"limmat";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;65,759;-0,324;-5,157
"knight";-0,23;-0,426;-0,209;-0,156;-0,684;28,126;-0,195;-0,49;-0,161;0,201
"kindkade";87,604;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"kincade";-0,46;-0,855;-0,42;-0,312;47,146;-0,268;-0,391;-0,983;-0,324;-5,157
"isometric";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;3,51;3,53
"iron";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;12,54
"imax";-0,46;-0,855;-0,42;-0,312;-0,028;-0,268;-0,391;-0,983;-0,324;7,922
"igor";-0,46;56,186;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-2,385
"howe";-0,46;-0,855;-0,42;-0,312;23,59;-0,268;-0,391;-0,983;-0,324;-0,669
"hildebrandt";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"heavenly";-0,46;15,109;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;0,403
"half";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;124,717;-0,983;-0,324;-2,385
"gate";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;0,021;-0,324;7,922
"galic";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;199,831;-5,157
"feature";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;0,021;-0,324;7,922
"ernst";-0,46;-0,855;83,6;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-0,669
"end";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;12,54
"effect";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;0,021;-0,324;7,922
"dungeon";-0,172;-0,319;5,127;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;0,961
"dream";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;12,54
"depict";-0,345;-0,64;-0,315;-0,234;0,021;-0,201;-0,293;-0,737;-0,242;4,957
"definition";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;12,54
"condition";-0,46;56,186;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-2,385
"civilization";-0,172;28,283;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;-1,928
"calm";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;12,54
"area";-0,287;-0,533;-0,262;-0,195;8,316;4,525;-0,244;-0,613;-0,202;-0,766
"american";-0,345;-0,64;-0,315;-0,234;1,703;-0,201;-0,293;-0,737;-0,242;1,927
"america";-0,23;-0,426;-0,209;-0,156;11,764;-0,134;-0,195;-0,49;-0,161;-0,334
"air";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"zbrush";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;26,538;-0,283;-0,326
"young";1,08;-0,747;-0,367;-0,273;-1,199;2,758;9,096;-0,86;-0,283;0,042
"warren";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"vintage";-0,403;-0,747;-0,367;2,173;-1,199;-0,234;-0,342;-0,86;-0,283;6,426
"timber";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;144,444;-0,86;-0,283;-4,509
"ted";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"sunrise";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;15,49;-0,283;0,042
"storybook";-0,403;-0,747;-0,367;89,502;-1,199;-0,234;-0,342;-0,86;-0,283;-0,326
"storm";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"shiny";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;44,847;-0,49;-0,161;-0,334
"sand";-0,23;-0,426;3,412;-0,156;-0,684;-0,134;-0,195;0,822;-0,161;0,201
"romanticism";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"romantic";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"robot";-0,403;-0,747;-0,367;-0,273;0;-0,234;-0,342;0,083;-0,283;3,093
"regional";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"psychedelic";-0,403;-0,747;65,837;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-0,326
"piranesi";-0,345;-0,64;1,748;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;4,957
"overlook";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"nearby";122,804;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"nasmith";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"mysterious";-0,403;0,177;-0,367;-0,273;0;-0,234;-0,342;-0,86;-0,283;3,093
"morski";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"model";-0,345;-0,64;-0,315;-0,234;0,021;-0,201;-0,293;-0,737;-0,242;4,957
"lovecraftian";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"lightning";-0,23;-0,426;-0,209;-0,156;4,044;-0,134;-0,195;0,822;-0,161;-0,334
"levitan";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"imaginative";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"horse";44,114;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-0,083
"gonsalves";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"fortress";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;22,949;0,201
"foliage";-0,403;-0,747;-0,367;-0,273;1,107;-0,234;-0,342;-0,86;-0,283;3,093
"elevate";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;99,657;-2,572
"dishonor";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"delicate";-0,403;-0,747;-0,367;181,007;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"de";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"complex";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"colosseum";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;0,428;-0,202;0,923
"clock";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;23,198;-0,86;-0,283;0,965
"canaletto";-0,403;-0,747;1,295;-0,273;18,261;-0,234;-0,342;-0,86;-0,283;-1,815
"cafe";-0,403;-0,747;-0,367;-0,273;10,238;-0,234;1,477;-0,86;-0,283;-0,326
"brussels";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;57,502;-0,283;-4,509
"blunt";-0,403;66,164;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;-4,509
"archipelago";-0,403;18,298;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;0,042
"aqueduct";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;12,458;-0,202;-3,217
"alien";-0,345;0,346;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;4,957
"aivazovsky";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;10,965
"afterlife";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;40,542;-0,283;-1,815
"35mm";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;26,538;-0,283;-0,326
"wave";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;32,553;-0,242;-1,27
"viktor";-0,345;-0,64;-0,315;35,809;0,021;-0,201;-0,293;-0,737;-0,242;-0,083
"treasure";-0,345;22,583;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;-1,27
"toei";-0,345;-0,64;-0,315;155,048;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"tictac";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;49,256;-0,242;-3,863
"takeya";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;49,256;-0,242;-3,863
"takayuki";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;49,256;-0,242;-3,863
"stream";1,488;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;4,957
"strange";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"shade";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"settlement";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"secret";2,083;0,624;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;0,923
"sculpt";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;32,553;-0,242;-1,27
"rococo";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;4,957
"rock";-0,345;-0,64;-0,315;-0,234;0,021;-0,201;-0,293;-0,737;-0,242;4,957
"ratio";-0,287;-0,533;-0,262;3,684;-0,856;-0,167;-0,244;12,458;-0,202;-0,766
"range";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"rainbow";-0,345;-0,64;-0,315;-0,234;35,314;-0,201;-0,293;-0,737;-0,242;-3,863
"pumpkin";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"pond";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"political";-0,345;56,676;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"plain";23,373;0,346;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;-1,27
"picture";-0,345;22,583;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;-1,27
"path";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;3,123;-0,242;1,927
"overgrow";-0,345;-0,64;10,274;-0,234;1,703;-0,201;-0,293;-0,737;-0,242;-0,083
"nighttime";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"michael";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;3,53
"metropolis";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"max";-0,345;-0,64;78,407;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;-3,863
"main";-0,23;-0,426;-0,209;-0,156;4,044;-0,134;-0,195;-0,49;-0,161;0,201
"lovecraft";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;19,296;-0,242;-0,083
"lineart";-0,345;-0,64;78,407;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-1,27
"lantern";-0,345;-0,64;-0,315;-0,234;35,314;-0,201;-0,293;-0,737;-0,242;-3,863
"intricately";-0,287;28,624;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-0,766
"instagram";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;32,553;-0,242;-1,27
"imagery";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;3,123;-0,242;1,927
"hunter";-0,345;-0,64;-0,315;155,048;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"houdini";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;32,553;-0,242;-1,27
"hold";-0,345;0,346;-0,315;-0,234;0,021;-0,201;-0,293;-0,737;-0,242;1,927
"historical";-0,345;0,346;-0,315;-0,234;6,074;-0,201;-0,293;0,207;-0,242;-1,27
"heart";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"hand";-0,345;37,703;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-1,27
"grass";-0,345;0,346;-0,315;-0,234;-1,027;-0,201;-0,293;9,486;-0,242;-0,083
"giger";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"geography";-0,345;56,676;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"freeze";-0,345;11,317;-0,315;-0,234;0,021;-0,201;-0,293;0,207;-0,242;-1,27
"foggy";-0,345;-0,64;-0,315;-0,234;6,074;-0,201;-0,293;-0,737;-0,242;0,302
"flare";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"fantastical";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"face";-0,345;-0,64;-0,315;-0,234;1,703;-0,201;-0,293;-0,737;-0,242;1,927
"eyck";-0,345;-0,64;78,407;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-1,27
"edge";-0,345;-0,64;-0,315;35,809;-1,027;-0,201;-0,293;-0,737;-0,242;0,302
"dreamlike";-0,345;-0,64;-0,315;-0,234;-1,027;77,709;-0,293;-0,737;-0,242;-0,083
"doll";105,193;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"deep";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;-0,613;-0,202;0,923
"crook";-0,345;-0,64;-0,315;-0,234;-1,027;180,819;-0,293;-0,737;-0,242;-3,863
"crash";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;49,256;-0,242;-3,863
"courtyard";-0,345;-0,64;-0,315;-0,234;1,703;-0,201;-0,293;0,207;-0,242;0,302
"computer";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"colourful";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;78,18;-0,766
"cobble";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;4,957
"channel";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"change";-0,345;3,905;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;14,062;-1,27
"caravaggio";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"car";-0,345;-0,64;-0,315;-0,234;0,021;-0,201;1,967;-0,737;-0,242;1,927
"brushstrokes";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"brown";-0,345;-0,64;-0,315;-0,234;0,021;-0,201;-0,293;-0,737;-0,242;4,957
"brand";-0,345;56,676;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"beautifully";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"balkan";-0,345;56,676;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-3,863
"age";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;2,653;4,957
"aesthetic";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;9,393
"witcher";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;124,652;-3,217
"witch";-0,287;-0,533;-0,262;-0,195;0,119;94,776;-0,244;-0,613;-0,202;-3,217
"watch";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;-0,613;-0,202;0,923
"vine";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;-0,613;-0,202;0,923
"villager";-0,287;-0,533;-0,262;129,123;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"vfx";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"verehin";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"university";-0,287;-0,533;-0,262;-0,195;-0,856;4,525;-0,244;-0,613;78,18;-3,217
"underground";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"ting";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"thick";-0,287;-0,533;96,024;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"study";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"steel";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"state";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;78,18;-3,217
"south";-0,287;47,199;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"solarpunk";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"socialist";-0,287;-0,533;-0,262;81,041;0,119;-0,167;-0,244;-0,613;-0,202;-3,217
"sketch";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;0,428;-0,202;3,53
"sit";-0,23;-0,426;-0,209;-0,156;4,044;6,096;-0,195;-0,49;-0,161;-0,334
"silver";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;34,726;-0,613;-0,202;0,002
"shine";-0,172;-0,319;-0,157;-0,117;17,623;-0,1;-0,146;-0,368;-0,121;-1,928
"sewer";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;-0,613;-0,202;0,923
"school";-0,23;1,094;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;2,175
"rpg";-0,287;0,624;-0,262;-0,195;-0,856;-0,167;-0,244;0,428;-0,202;0,923
"rainy";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;3,51;3,53
"projection";-0,287;28,624;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-0,766
"portra";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;4,376;-0,202;0,923
"palm";-0,287;-0,533;-0,262;-0,195;-0,856;21,746;-0,244;-0,613;-0,202;0,923
"pain";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"north";-0,287;28,624;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-0,766
"nekro";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"naïve";-0,287;-0,533;-0,262;129,123;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"national";-0,287;0,624;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;0,923
"miyazaki";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"maxim";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"marco";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"mapporn";-0,287;47,199;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"manga";-0,287;28,624;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-0,766
"lviv";-0,287;-0,533;-0,262;-0,195;2,606;-0,167;-0,244;-0,613;-0,202;0,923
"lose";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;0,428;-0,202;3,53
"landscale";87,604;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;-3,217
"konig";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"kodak";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;4,376;-0,202;0,923
"johnson";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"jar";-0,23;-0,426;-0,209;-0,156;23,512;-0,134;-0,195;-0,49;-0,161;-2,572
"invade";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;41,02;-0,202;-3,217
"impossibly";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;124,652;-3,217
"impose";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"hayao";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"haunt";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;3,53
"greek";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"graphic";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"galaxy";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;0,822;-0,161;2,175
"evil";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;0,428;3,51;0,923
"establish";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;3,53
"engrave";-0,23;1,094;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;2,175
