"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"illumination";-0,287;-0,533;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;3,53
"glow";-0,809;-1,501;-0,738;-0,549;-0,001;-0,471;-0,688;-1,728;-0,569;12,911
"global";-0,287;0,624;-0,262;-0,195;0,119;-0,167;-0,244;-0,613;-0,202;0,923
"fish";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;1,196;-0,364;5,697
"fight";-0,46;-0,855;-0,42;-0,312;0,703;-0,268;-0,391;-0,983;-0,324;4,36
"empire";-0,518;22,009;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;0,11
"disney";-0,926;21,703;-0,845;-0,628;-2,758;-0,539;-0,787;-1,977;69,145;-4,795
"cliff";-0,926;-1,718;-0,845;-0,628;-0,056;-0,539;-0,787;-1,977;-0,651;15,927
"caesar";-0,926;152,12;-0,845;-0,628;-2,758;-0,539;-0,787;-1,977;-0,651;-10,367
"antique";-0,926;131,811;0,057;-0,628;-2,758;-0,539;-0,787;-1,977;-0,651;-10,367
"amano";152,812;-1,718;-0,845;-0,628;-2,758;-0,539;-0,787;-1,977;-0,651;-1,345
"winter";-0,751;-1,393;-0,685;-0,509;40,945;-0,437;-0,638;-1,603;-0,528;-1,409
"wes";-0,867;-1,61;-0,791;-0,588;-0,76;-0,505;-0,737;-1,852;35,36;2,787
"third";-0,751;29,547;-0,685;-0,509;-2,236;-0,437;-0,638;-0,139;-0,528;-0,002
"symmetrical";-0,867;-1,61;-0,791;-0,588;12,534;-0,505;-0,737;-1,852;-0,61;1,294
"strong";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;0,021;-0,324;7,922
"stiavnica";-0,867;-1,61;-0,791;-0,588;-2,583;-0,505;311,134;-1,852;-0,61;-9,713
"spain";-0,345;22,583;-0,315;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-0,083
"shape";-0,867;1,884;-0,791;-0,588;-2,583;-0,505;-0,737;-1,852;196,534;-6,681
"rhads";-0,403;-0,747;-0,367;-0,273;0;-0,234;-0,342;-0,86;-0,283;6,426
"renewel";-0,867;142,519;-0,791;-0,588;-2,583;-0,505;-0,737;-1,852;-0,61;-9,713
"pixar";-0,692;-1,285;-0,632;-0,47;-0,378;-0,403;-0,589;-1,479;96,468;-0,167
"neon";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"neoclassical";-0,23;-0,426;-0,209;-0,156;11,764;-0,134;-0,195;-0,49;-0,161;-0,334
"mohrbacher";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;97,748;-0,569;-6,05
"market";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;0,822;-0,161;2,175
"londo";-0,867;-1,61;-0,791;-0,588;88,801;-0,505;-0,737;-1,852;-0,61;-9,713
"loish";2,988;-1,285;-0,632;-0,47;12,195;-0,403;-0,589;6,271;-0,487;-7,755
"line";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;0,495;-1,355;-0,446;12,505
"incredible";-0,867;-1,61;-0,791;289,362;-2,583;-0,505;-0,737;-1,852;-0,61;-4,215
"flow";-0,867;-1,61;-0,791;-0,588;-2,583;-0,505;230,209;-1,852;-0,61;-4,215
"figure";-0,751;-1,393;-0,685;-0,509;51,67;-0,437;-0,638;-1,603;-0,528;-3,09
"dore";-0,867;86,43;-0,791;-0,588;-2,583;-0,505;-0,737;-1,852;-0,61;-2,314
"depth";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;-1,728;4,123;12,911
"breathtaking";-0,867;-1,61;-0,791;-0,588;52,089;-0,505;-0,737;-0,279;-0,61;-4,215
"behance";-0,403;2,912;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;-0,283;3,093
"banska";-0,867;-1,61;-0,791;-0,588;-2,583;-0,505;311,134;-1,852;-0,61;-9,713
"anor";-0,867;-1,61;-0,791;-0,588;88,801;-0,505;-0,737;-1,852;-0,61;-9,713
"anderson";-0,867;-1,61;-0,791;-0,588;-0,76;-0,505;-0,737;-1,852;35,36;2,787
"winner";-0,809;0,356;-0,738;-0,549;36,689;-0,471;-0,688;-1,728;-0,569;-3,646
"tiny";-0,576;-1,07;-0,526;36,763;0,238;-0,335;-0,49;3,783;-0,405;-3,573
"sprawl";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;-1,728;-0,569;22,031
"show";-0,46;39,6;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-0,669
"sense";-0,809;-1,501;270,441;-0,549;-2,41;-0,471;-0,688;-1,728;-0,569;-9,06
"sea";-0,751;0,504;-0,685;-0,509;-2,236;-0,437;-0,638;-1,603;4,675;5,009
"scale";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;6,254
"rule";-0,692;45,343;-0,632;-0,47;-2,063;-0,403;-0,589;-0,082;-0,487;-1,006
"pile";-0,809;-1,501;-0,738;-0,549;82,827;-0,471;-0,688;-1,728;-0,569;-9,06
"mm";-0,809;2,274;-0,738;-0,549;-0,626;-0,471;-0,688;0,167;-0,569;1,938
"lacoste";-0,576;-1,07;-0,526;-0,391;59,009;-0,335;-0,49;-1,231;-0,405;-6,454
"king";-0,809;0,356;-0,738;-0,549;9,08;-0,471;-0,688;-1,728;-0,569;0,085
"jim";-0,809;26,544;60,731;-0,549;-2,41;-0,471;-0,688;-1,728;-0,569;-9,06
"insanely";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;14,864;-0,569;1,938
"ink";-0,692;22,723;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;0,607
"good";-0,751;123,356;-0,685;-0,509;-2,236;-0,437;-0,638;-1,603;-0,528;-8,407
"gaston";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;53,318;-0,569;-0,654
"desert";-0,518;1,659;0,725;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;2,896
"cross";-0,576;0,002;-0,526;-0,391;-0,169;-0,335;46,777;3,783;-0,405;-6,454
"century";-0,809;-0,099;-0,738;-0,549;-2,41;-0,471;0,2;-1,728;-0,569;12,911
"busy";-0,518;-0,962;-0,473;41,668;-0,087;-0,302;-0,441;-1,107;-0,364;0,11
"bussiere";-0,809;-1,501;-0,738;-0,549;-2,41;-0,471;-0,688;53,318;-0,569;-0,654
"zombie";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;41,707;-0,364;-1,08
"window";-0,634;-1,177;-0,579;-0,43;-0,267;-0,369;-0,539;-1,355;-0,446;12,505
"uhd";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"sun";-0,576;-1,07;-0,526;-0,391;1,925;-0,335;-0,49;3,783;-0,405;0,004
"screenshot";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;26,538;-0,283;-0,326
"ross";-0,345;-0,64;-0,315;-0,234;-1,027;-0,201;-0,293;0,207;-0,242;4,957
