across;0;0;0;0;0;0;0;0;0;0;0;1;2;1
70;0;0;0;0;4;0;0;0;0;0;0;0;0;0
1950;4;0;0;0;0;0;0;0;0;0;0;0;0;0
who;0;0;0;0;0;0;0;0;0;1;0;2;0;0
various;0;0;0;0;0;0;2;0;1;0;0;0;0;0
seen;0;0;0;0;0;0;0;0;1;0;0;2;0;0
j;0;0;1;0;0;0;0;0;0;0;0;0;1;1
i;0;0;0;0;0;0;1;0;0;0;0;2;0;0
few;0;0;0;0;0;0;2;0;0;0;0;1;0;0
do;0;3;0;0;0;0;0;0;0;0;0;0;0;0
