"";"";"";"";"seen";""
"1";"seen";"0.25971873752401";"-0.517257964930944";"0.810344077254629";"87"
"2";"around";"0.294787497781414";"-0.519685237814728";"0.810013863983751";"90"
"3";"has";"0.536444866116159";"-0.574933693671468";"0.805885221135426";"96"
"4";"name";"0.329359002379963";"-0.513238723921022";"0.800267687681127";"101"
"5";"between";"0.295713582240558";"-0.465350115807156";"0.8";"103"
