art;0;18;50;23;29;23;30;105;16;137;97;42;6;9
detail;0;27;11;14;43;25;8;107;23;134;95;67;8;30
paint;1;58;4;14;34;26;7;105;19;138;96;45;3;3
artstation;0;21;0;13;40;20;9;106;9;134;94;48;3;10
flag;5;19;49;8;13;13;6;87;6;121;114;17;4;26
blue;0;0;22;6;18;4;42;103;22;120;92;23;7;5
digital;0;18;4;4;19;9;11;105;9;136;95;19;2;6
concept;0;7;7;12;31;12;3;105;6;134;95;15;1;11
sharp;0;0;1;0;0;5;1;105;2;135;94;15;3;0
highly;0;24;6;7;24;8;8;2;5;133;95;18;1;6
rutkowski;0;12;0;10;10;9;0;108;6;128;95;9;1;3
focus;0;0;0;0;0;5;1;105;0;135;94;10;1;0
greg;0;12;0;10;10;9;0;108;6;128;95;11;1;3
yellow;0;0;22;0;6;1;13;107;6;118;88;7;7;3
intricate;0;0;0;0;5;3;0;104;5;128;89;21;1;5
illustration;0;0;0;5;4;2;13;105;6;132;94;13;9;6
matte;0;47;0;8;4;3;0;105;6;119;89;11;0;0
fantasy;0;0;1;13;1;7;6;104;10;124;89;9;0;9
light;0;3;0;15;27;21;8;105;13;12;58;47;7;8
artgerm;0;0;0;5;0;5;0;102;0;126;94;5;1;0
soldier;3;0;0;0;4;5;5;103;0;117;88;5;0;0
alphonse;0;0;0;10;0;0;0;101;4;123;94;0;0;0
mucha;0;0;0;10;0;0;0;101;4;123;93;0;0;0
elegant;0;0;0;0;0;1;0;104;0;126;89;1;0;0
ukrainian;0;0;0;0;5;1;0;101;0;71;56;7;0;5
extremely;0;0;0;0;0;2;0;104;0;116;11;12;0;6
figure;0;0;0;0;0;0;0;81;0;114;58;0;0;0
masculine;0;0;0;0;0;0;0;81;0;114;58;0;0;0
smooth;0;0;1;0;1;2;5;105;2;90;5;4;0;0
realistic;0;0;3;1;9;9;4;109;5;24;18;15;3;12
stand;0;0;0;0;3;2;0;6;0;117;89;6;1;1
shoot;0;0;0;0;0;0;0;3;0;117;72;11;1;1
super;1;0;0;0;0;0;0;0;0;114;83;2;0;0
pile;0;0;0;0;3;2;0;3;0;117;81;2;1;0
skull;0;0;0;0;4;0;0;3;0;117;79;0;0;0
trend;0;0;0;11;37;20;0;0;5;3;0;30;0;11
winner;0;0;11;0;0;0;0;3;1;114;46;0;0;0
huge;0;0;0;0;9;3;0;4;2;113;21;2;0;0
volumetric;0;0;0;13;16;4;2;105;3;1;0;13;0;2
hyper;0;0;0;0;0;7;0;106;5;21;7;5;0;3
logo;2;0;8;0;1;1;75;0;12;0;0;12;6;2
high;0;0;0;11;30;3;3;0;9;0;0;34;5;11
symmetrical;0;0;0;1;2;0;6;0;2;37;88;2;0;1
bright;0;2;11;0;11;1;0;107;3;1;0;0;1;2
background;0;0;11;2;0;2;10;42;11;0;0;21;19;6
style;2;0;1;6;13;11;13;1;5;1;0;32;12;23
red;1;0;0;0;2;1;2;75;6;0;0;8;2;3
atmosphere;0;0;0;0;11;0;0;104;0;3;0;5;0;0
cinematic;0;40;0;8;10;3;0;3;1;1;4;31;4;6
distant;0;0;0;0;0;0;0;0;0;117;5;1;0;0
communist;8;40;11;0;0;0;1;0;0;0;0;1;0;0
map;2;0;2;0;0;0;0;0;1;1;0;5;0;96
city;0;9;5;15;5;4;0;0;10;3;1;12;4;1
render;0;4;0;3;11;3;6;0;30;6;0;23;7;0
full;0;0;0;0;0;4;3;0;2;0;76;6;4;4
special;0;0;0;0;0;0;0;104;0;0;0;0;0;0
poster;80;0;2;0;1;4;3;0;2;0;2;4;0;3
force;0;0;0;0;0;0;0;104;0;0;0;0;0;0
propaganda;74;0;2;0;0;2;2;0;0;0;0;7;1;3
symbol;0;2;10;0;10;0;9;0;3;58;0;1;3;0
photorealistic;0;56;0;0;0;1;0;0;2;1;1;16;1;2
square;0;0;1;0;0;2;0;74;1;0;0;1;0;5
body;0;0;0;0;0;2;1;0;0;0;78;6;1;1
color;5;0;12;0;0;3;13;0;6;0;0;25;6;5
icon;0;0;34;0;2;0;15;0;10;1;0;5;2;0
vector;0;0;42;0;0;0;22;0;2;1;0;6;5;1
america;0;39;0;0;0;1;0;0;0;0;0;1;0;0
white;0;0;14;2;5;0;19;0;17;0;0;12;6;4
kremlin;0;0;0;0;0;0;0;76;0;0;0;5;0;0
octane;0;4;0;3;11;5;6;0;14;5;0;17;0;0
architecture;0;52;0;4;0;3;1;0;6;0;0;1;0;0
beautiful;0;0;0;4;9;7;6;2;7;2;0;24;0;2
triumph;0;33;0;0;0;0;0;0;0;0;42;0;0;0
soviet;51;0;2;0;0;0;0;0;0;0;0;1;1;0
design;3;0;24;2;2;0;15;0;4;0;0;2;1;4
battle;0;0;0;0;2;3;3;1;0;0;45;5;1;3
american;0;42;0;0;0;2;0;0;0;0;0;1;0;0
