"";"V1"
"379";14
"380";14
"381";0
"382";14
"383";8
"384";14
"385";1
"386";2
"387";8
"388";7
"389";8
"390";3
"391";9
"392";12
"393";8
"394";10
"395";14
"396";0
"397";5
"398";10
"399";9
"400";1
"401";11
"402";7
"403";0
"404";0
"405";0
"406";0
"407";0
"408";1
"409";10
"410";2
"411";10
"412";7
"413";3
"414";11
"415";14
"416";0
"417";8
"418";6
"419";14
"420";11
"421";11
"422";14
"423";0
"424";0
"425";7
"426";11
"427";11
"428";2
"429";0
"430";14
"431";14
"432";2
"433";14
"434";12
"435";3
"436";9
"437";12
"438";1
"439";1
"440";8
"441";7
"442";14
"443";13
"444";5
"445";2
"446";0
"447";6
"448";13
"449";7
"450";11
"451";10
"452";0
"453";0
"454";10
"455";1
"456";8
"457";12
"458";2
"459";12
"460";0
"461";11
"462";8
"463";1
"464";5
"465";9
"466";3
"467";5
"468";2
"469";11
"470";11
"471";12
"472";0
"473";0
"474";7
"475";10
"476";14
"477";10
"478";14
"479";4
"480";3
"481";0
"482";3
"483";5
"484";8
"485";9
"486";0
"487";9
"488";3
"489";10
"490";9
"491";14
"492";12
"493";0
"494";14
"495";7
"496";3
"497";0
"498";12
"499";10
"500";11
"501";5
"502";7
"503";13
"504";9
"505";9
"506";0
"507";7
"508";0
"509";0
"510";5
"511";7
"512";8
"513";0
"514";10
"515";10
"516";2
"517";11
"518";12
"519";13
"520";0
"521";12
"522";6
"523";3
"524";6
"525";3
"526";3
"527";9
"528";0
"529";12
"530";8
"531";3
"532";12
"533";13
"534";2
"535";7
"536";12
"537";10
"538";0
"539";4
"540";10
"541";2
"542";7
"543";14
"544";1
"545";8
"546";9
"547";8
"548";3
"549";0
"550";11
"551";0
"552";6
"553";11
"554";10
"555";0
"556";4
"557";1
"558";10
"559";0
"560";10
"561";11
"562";2
"563";10
"564";0
"565";9
"566";0
"567";1
"568";7
"569";7
"570";2
"571";11
"572";7
"573";7
"574";8
"575";0
"576";4
"577";13
"578";5
"579";14
"580";8
"581";10
"582";11
"583";11
"584";0
"585";5
"586";14
"587";8
"588";9
"589";2
"590";3
"591";0
"592";7
"593";0
"594";12
"595";0
"596";2
"597";0
"598";7
"599";11
"600";7
"601";7
"602";6
"603";5
"604";12
"605";7
"606";11
"607";7
"608";2
"609";10
"610";10
"611";0
"612";14
"613";12
"614";2
"615";0
"616";1
"617";5
"618";0
"619";1
"620";14
"621";13
"622";14
"623";10
"624";1
"625";0
"626";8
"627";7
"628";2
"629";1
"630";14
"631";10
"632";11
"633";10
"634";4
"635";2
"636";11
"637";3
"638";7
"639";0
"640";13
"641";0
"642";6
"643";13
"644";3
"645";6
"646";13
"647";11
"648";2
"649";0
"650";14
"651";5
"652";7
"653";0
"654";13
"655";9
"656";2
"657";6
"658";0
"659";13
"660";10
"661";7
"662";10
"663";8
"664";5
"665";5
"666";10
"667";14
"668";14
"669";12
"670";10
"671";5
"672";14
"673";3
"674";13
"675";14
"676";13
"677";10
"678";13
"679";6
"680";14
"681";9
"682";0
"683";12
"684";14
"685";14
"686";4
"687";8
"688";8
"689";0
"690";7
"691";11
"692";0
"693";6
"694";6
"695";6
"696";12
"697";5
"698";0
"699";10
"700";0
"701";9
"702";0
"703";5
"704";9
"705";7
"706";7
"707";13
"708";10
"709";1
"710";12
"711";0
"712";0
"713";9
"714";2
"715";3
"716";11
"717";1
"718";0
"719";2
"720";1
"721";12
"722";0
"723";8
"724";0
"725";1
"726";0
"727";0
"728";3
"729";2
"730";12
"731";14
"732";8
"733";6
"734";12
"735";10
"736";0
"737";4
"738";7
"739";7
"740";7
"741";5
"742";10
"743";12
"744";8
"745";12
"746";0
"747";12
"748";1
"749";13
"750";0
"751";14
"752";13
"753";0
"754";10
"755";1
"756";1
"757";10
"758";10
"759";10
"760";0
"761";0
"762";0
"763";12
"764";8
"765";10
"766";0
"767";7
"768";5
"769";12
"770";0
"771";13
"772";1
"773";8
"774";1
"775";4
"776";8
"777";11
"778";1
"779";13
"780";3
"781";0
"782";10
"783";12
"784";0
"785";12
"786";1
"787";11
"788";0
"789";8
"790";1
"791";3
"792";9
"793";2
"794";0
"795";13
"796";0
"797";0
"798";0
"799";0
"800";14
"801";11
"802";8
"803";9
"804";1
"805";0
"806";11
"807";9
"808";0
"809";8
"810";5
"811";6
"812";0
"813";10
"814";4
"815";12
"816";12
"817";9
"818";8
"819";0
"820";10
"821";1
"822";3
"823";0
"824";14
"825";13
"826";12
"827";0
"828";10
"829";7
"830";7
"831";5
"832";0
"833";10
"834";9
"835";8
"836";12
"837";6
"838";10
"839";7
"840";14
"841";3
"842";11
"843";8
"844";7
"845";0
"846";0
"847";13
"848";5
"849";5
"850";14
"851";0
"852";8
"853";0
"854";9
"855";3
"856";14
"857";14
"858";9
"859";1
"860";13
"861";12
"862";0
"863";5
"864";3
"865";10
"866";8
"867";0
"868";0
"869";14
"870";14
"871";10
"872";7
"873";11
"874";11
"875";2
"876";5
"877";14
"878";9
"879";9
"880";12
"881";3
"882";1
"883";9
"884";14
"885";6
"886";8
"887";7
"888";0
"889";12
"890";0
"891";13
"892";9
"893";13
"894";10
"895";12
"896";9
"897";11
"898";14
"899";4
"900";10
"901";0
"902";0
"903";3
"904";0
"905";13
"906";12
"907";3
"908";13
"909";11
"910";7
"911";2
"912";9
"913";12
"914";8
"915";1
"916";0
"917";4
"918";10
"919";3
"920";13
"921";1
"922";5
"923";0
"924";14
"925";0
"926";0
"927";0
"928";7
"929";9
"930";12
"931";9
"932";10
"933";11
"934";12
"935";5
"936";7
"937";0
"938";14
"939";9
"940";0
"941";3
"942";3
"943";0
"944";5
"945";3
"946";14
"947";10
"948";7
"949";11
"950";11
"951";9
"952";9
"953";0
"954";0
"955";6
"956";14
"957";12
"958";3
"959";9
"960";14
"961";12
"962";9
"963";12
"964";6
"965";8
"966";0
"967";14
"968";9
"969";6
"970";13
"971";12
"972";3
"973";11
"974";3
"975";4
"976";10
"977";5
"978";2
"979";0
"980";4
"981";0
"982";0
"983";0
"984";3
"985";5
"986";3
"987";13
"988";13
"989";4
"990";3
"991";0
"992";13
"993";5
"994";0
"995";12
"996";10
"997";11
"998";1
"999";14
"1000";12
"1001";6
"1002";0
"1003";0
"1004";5
"1005";0
"1006";8
"1007";7
"1008";6
"1009";0
"1010";10
"1011";8
"1012";12
"1013";10
"1014";0
"1015";3
"1016";7
"1017";11
"1018";11
"1019";4
"1020";7
"1021";9
"1022";8
"1023";0
"1024";12
"1025";1
"1026";13
"1027";14
"1028";7
"1029";7
"1030";7
"1031";0
"1032";3
"1033";11
"1034";9
"1035";12
"1036";9
"1037";3
"1038";7
"1039";3
"1040";14
"1041";7
"1042";1
"1043";8
"1044";14
"1045";13
"1046";1
"1047";0
"1048";3
"1049";6
"1050";10
"1051";12
"1052";13
"1053";3
"1054";7
"1055";5
"1056";9
"1057";1
"1058";12
"1059";5
"1060";9
"1061";10
"1062";12
"1063";8
"1064";6
"1065";7
"1066";6
"1067";11
"1068";1
"1069";10
"1070";3
"1071";12
"1072";0
"1073";11
"1074";2
"1075";1
"1076";9
"1077";6
"1078";12
"1079";3
"1080";12
"1081";14
"1082";10
"1083";5
"1084";0
"1085";0
"1086";7
"1087";12
"1088";7
"1089";0
"1090";12
"1091";14
"1092";9
"1093";0
"1094";1
"1095";9
"1096";12
"1097";10
"1098";2
"1099";11
"1100";14
