"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"mass";"chi.distance";"inertie"
"rutkowski";-0,529377938863996;0,454366962940776;0,501103171220786;-0,0380893900191618;0,0411041874266771;0,115916507566452;0,0382494017878158;-0,00527970277101682;-0,025265630347104;0,00675043327108056;-0,00450803610068063;0,119504018903364;0,0143737468537525;-0,602869416587706;0,51744495898838;0,570669373061536;-0,0433771917060056;0,0468105216972386;0,132008744904319;0,0435594172853764;-0,00601266334624714;-0,0287731594175717;0,00768756963424598;-0,00513386919712927;0,136094296469477;0,0163691981545295;0,409879880697528;0,264115952337824;0,3033473691685;0,00144864017468667;0,00159686075063271;0,011447020796708;0,00116329836060303;2,06177563955909e-05;0,00038529982100202;2,4660343758184e-05;1,02696531655647e-05;0,00650843086364733;5,16992755336139e-05;0,00428811614459961;0,00315899075535951;0,00384228136771196;2,21994849185788e-05;2,58527649038036e-05;0,000205601102024173;2,23863947174959e-05;4,26534152074533e-07;9,76776355195371e-06;6,97265471561021e-07;3,10963655486658e-07;0,000218524373608412;3,16136649547067e-06;0,0153015301530153;0,70833149951164;0,00767729048101435
"focus";-0,621357289209578;0,69496733708083;0,56883827602604;0,120380065023529;0,147158308386698;0,0467565620282985;0,156665917060614;-0,0433657902096225;-0,00450543584558982;-0,088255446748702;-0,0357956029509798;-0,0268604283017197;0,125761992837168;-0,548559071691229;0,613544966648328;0,502193185882198;0,106276337086895;0,12991724156475;0,0412785634080906;0,13831093884446;-0,0382850544021275;-0,00397757899994238;-0,0779154389606482;-0,0316017902524263;-0,0237134606293327;0,111027718259417;0,344249623888458;0,376682707477139;0,238302890028329;0,00882119439098024;0,0124775765104764;0,00113541020307412;0,0118975250466483;0,000847974399207065;7,4692656782658e-06;0,00256971299209539;0,000394735445776559;0,000200448539789124;0,00241273181234561;0,00530332223925606;0,00663428323339084;0,00444470400655772;0,00019905558561927;0,000297464261427596;3,00296563432807e-05;0,000337143097034538;2,58321022164619e-05;2,78829578042215e-07;0,000106991248861791;1,7600482992568e-05;9,91039782419639e-06;0,000217252129835007;0,0137361562243181;0,907201328285858;0,0113050523134392
"greg";-0,525267110077554;0,449453325069194;0,493405166089472;-0,0400411384767933;0,0391725468923303;0,112526103620646;0,0395312731988595;-0,0116310636526651;-0,0204286007518911;0,00588002244315348;-0,00154799504421303;0,0892577341418494;0,0146673208754118;-0,607540939990941;0,519852262507499;0,57068838435006;-0,0463128767093502;0,0453082355704543;0,130151333398947;0,045723150026903;-0,0134528646645918;-0,0236283808092821;0,00680102426697504;-0,00179046116960121;0,103238384169902;0,016964698038072;0,413797041337464;0,265003968168014;0,301575013868579;0,00164160008264415;0,00148716984763343;0,0110614102400411;0,00127416440039171;0,000102603780365479;0,000258296079612371;1,91865035273382e-05;1,24171572003203e-06;0,00372310282912021;5,52011468916878e-05;0,00424337165942102;0,00310684688789541;0,00374419138903634;2,46583203073405e-05;2,36001233906979e-05;0,000194740920065957;2,40343432616165e-05;2,08060443725168e-06;6,41841652139885e-06;5,31751376561325e-07;3,68544375284658e-08;0,000122529982386642;3,30866076598756e-06;0,0153797988494502;0,699496482069221;0,00752526372918625
"yellow";-0,472014134362968;0,536562223675923;0,267751031426997;0,444451013189124;0,070427621372682;0,0469639214031495;0,0652098167407009;0,135312181298908;0,0706988649547967;-0,0752566909431381;0,0712691720541216;0,168489194270642;-0,0217188596764023;-0,510695298304236;0,58053304960619;0,289693004745336;0,480873402379298;0,076199106101602;0,0508125755235855;0,0705537067395276;0,146400901502462;0,0764925778686459;-0,0814239138886493;0,0771096211582665;0,182296742967697;-0,0234987020806857;0,318467189906286;0,359957387753491;0,0846404570965854;0,192765831294265;0,00458153193563678;0,00183637074685887;0,0033044375268102;0,0132350629428583;0,00294844600577317;0,00299540693183374;0,00250850053381648;0,0126440191773045;0,000115358148476586;0,00329579288805711;0,00425882790721823;0,00106050375321189;0,00292211770755642;7,33729442389087e-05;3,26271102150876e-05;6,29036526183419e-05;0,000270846791459879;7,39392068731229e-05;8,37799586344757e-05;7,51369102115538e-05;0,000419946544260818;6,97788718401558e-06;0,0147927836261887;0,716509038090048;0,00759439620511355
"intricate";-0,564550630807362;0,61711180070432;0,450197791707946;0,0525201355553137;0,177234956658768;0,00592693504704849;0,0724937619969383;-0,0262473082391571;0,0851325324112672;0,0212047129696124;0,0244638442871819;-0,163220851614858;0,109636610700681;-0,567587019164468;0,620430884918276;0,452619142882741;0,0528026107123881;0,178188200051839;0,00595881257155758;0,0728836636335294;-0,0263884771915835;0,0855904106176114;0,0213187607450699;0,0245954210278853;-0,164098721315883;0,110226282042945;0,371310269401451;0,388074481566485;0,195028865404781;0,00219386757509699;0,0236482997624221;2,38379264155411e-05;0,00332850596669987;0,00040588055175229;0,00348446317735695;0,000193823694930917;0,000240899920454887;0,00967094239147478;0,00239586266067602;0,00450268018326386;0,00538013297144127;0,00286333411532089;3,89687956243188e-05;0,000443776268153353;4,96278707695665e-07;7,42448924109581e-05;9,73273390671457e-06;0,000102389733298897;6,35228687890414e-06;8,45502146550313e-06;0,000376371375223201;0,000169815179921797;0,0141274997064924;0,793658064969385;0,00889881492571646
"illustration";-0,519237606071927;0,563536216194957;0,342026116042021;0,0692496172105255;0,101432469736642;-0,0269911384471752;0,247760080015193;0,157251687225347;0,135029193904345;-0,141237469271251;-0,0346949451034144;0,0809553097340371;0,0838902348404288;-0,560213146184172;0,608007572971455;0,36901704403612;0,0747144380066033;0,10943699441624;-0,0291211391697427;0,267312021126849;0,169661175178975;0,14568499788782;-0,15238319816261;-0,0374328903102957;0,087343883101057;0,090510417282017;0,375079873150128;0,386448265586675;0,13442220857319;0,00455463734493087;0,00924944066969481;0,00059035175770279;0,0464270453275773;0,0173972114769936;0,010467921096684;0,010268387331792;0,000578602058150014;0,00284098218608872;0,00167507344038798;0,00410430837931241;0,00483449782995089;0,00178084550218422;7,3003294689464e-05;0,000156625224500619;1,10904741035656e-05;0,000934480776030739;0,000376442227120099;0,000277563948159191;0,000303673965501953;1,83248368065808e-05;9,97696351010871e-05;0,000107134790987967;0,0152232614565804;0,726278647099644;0,00802997620191735
"matte";-0,455568496657766;0,0835584149149519;0,777598010289084;0,0402478408745573;0,0645454086793678;0,111267455063187;0,0946239877218836;0,0618226534367389;0,0301861287310121;0,0370794733314135;0,0626405348771183;0,0388081420311846;0,00198179709563603;-0,491868670109731;0,0902164366549023;0,839557831603508;0,0434548308563756;0,0696884542318549;0,120133362051893;0,10216372585615;0,0667487470087888;0,0325913909842583;0,0400340044794461;0,0676317980962504;0,0419004153060391;0,0021397087573202;0,282911309087168;0,0083249099083686;0,680791661558643;0,00150749430566651;0,00366981049189552;0,00983006120541298;0,00663532700090433;0,00263472780307733;0,00051259148460928;0,000693459271390983;0,00184803391431827;0,000639697999356693;9,15969187865385e-07;0,00318384224230543;0,000107108653058933;0,00927586572681771;2,48501690003117e-05;6,39108924346242e-05;0,000189924276994694;0,000137355693207739;5,8632640682502e-05;1,39784498166153e-05;2,10916854488209e-05;6,01942609869314e-05;2,31041435472053e-05;6,02507624733846e-08;0,0153406645012327;0,733715252478838;0,0082584637464984
"fantasy";-0,527426446627349;0,555290195940085;0,350936704593929;-0,032186719084074;0,0990553790822951;0,208496371363087;0,219000045870984;0,0761279774854191;-0,0242113915573224;0,118468126415449;0,00992055631477349;0,116429507224227;0,062509724948656;-0,572094424038218;0,602317966518025;0,380657688237591;-0,0349126264597298;0,107444422641954;0,226154020625553;0,237547255940744;0,0825752893341107;-0,0262618649419691;0,128501244072842;0,0107607325861857;0,126289973326953;0,0678037010088649;0,385638667066457;0,373897874030028;0,141018263192349;0,000980477773026955;0,00878987875494109;0,0351019094809349;0,0361461525364785;0,00406296315373754;0,000335358932222611;0,00719897579221536;4,7139492582959e-05;0,00585557080602792;0,000926768988995657;0,00406060497446594;0,00450097860277766;0,00179773024088971;1,51223872834155e-05;0,000143226396535678;0,00063454720984218;0,000700092376399128;8,45971087776636e-05;8,5567026363229e-06;0,000204866042037814;1,43661034801326e-06;0,000197875969431129;5,70377142021455e-05;0,0145971118851016;0,727563047484701;0,00772695180794149
"light";-0,255990137325071;0,141737951792796;-0,165000557624118;-0,352538817279392;-0,194107974700837;-0,125221212157839;-0,0737707605084736;-0,236273706656426;0,0482473950863027;-0,0178966649082482;0,780662399029705;-0,161064066798394;-1,01296100472001;-0,180298505783555;0,0998286152275132;-0,116212891261918;-0,248299495638229;-0,136713774073223;-0,0881955753466943;-0,0519580872496828;-0,166411865360266;0,033981517151041;-0,0126049463279463;0,549834714482481;-0,113440349236178;-0,713446843993468;0,100756964890481;0,0270182447811512;0,0345748608271537;0,130457803596552;0,0374356479820673;0,0140430482958314;0,00454898001814865;0,0434067161662868;0,0014770321847496;0,000182214833520935;0,32375107272642;0,0124283158539944;0,26991909784364;0,000830901574456915;0,000254727257895634;0,000345202505430729;0,00157585771264258;0,000477738093098941;0,000198819474803985;6,90035821368738e-05;0,000707838049705398;2,95155483491906e-05;4,06113408239937e-06;0,00772733319484427;0,000328927691105487;0,0130103376924436;0,0126795288224475;0,690851511553434;0,0060516324020301
"artgerm";-0,627396530948741;0,692585008387192;0,571031474565839;0,0737046574552523;0,100888366625114;0,146424510280578;0,155685245481824;-0,00903626995805528;-0,0182429797470461;-0,0952158722462296;-0,0443196170494783;0,0622668561450347;0,0169421017371256;-0,555354063334926;0,613057101273813;0,505461273770069;0,0652413250398215;0,0893035928390528;0,129610928248485;0,137808275013702;-0,00799865633781664;-0,0161481813017652;-0,0842824576443873;-0,0392304996915683;0,0551168995450846;0,0149966800532328;0,350219372797351;0,373300292125234;0,239627711381528;0,00329969174374213;0,00585205110269744;0,0111111874051788;0,0117237824031031;3,67393836470299e-05;0,000122197156380271;0,00298459595222343;0,000603815170789947;0,00107487055966644;4,36928184563889e-05;0,0052066577537558;0,00634484443778923;0,00431315334369173;7,18562700012317e-05;0,000134634693846349;0,000283597478859101;0,000320604576109606;1,080073222993e-06;4,40216541295674e-06;0,000119920520750295;2,59816545192108e-05;5,12848019596532e-05;3,79672704612518e-06;0,0132274096974915;0,908178146499043;0,0109098027813999
